en_name	en_url	en_abbr	fr_name	fr_url	fr_abbr
Federal Court of Canada	http://www.fct-cf.gc.ca/fc_cf_en/Index.html	FC	Cour fédérale	http://www.fct-cf.gc.ca/fc_cf_fr/Index.html	CF
Supreme Court of Canada	http://www.scc-csc.ca/home-accueil/index-eng.aspx	SCC	Cour suprême du Canada	http://www.scc-csc.ca/home-accueil/index-fra.aspx	CSC
National Defence	https://www.canada.ca/en/department-national-defence.html	DND	Défense nationale	https://www.canada.ca/fr/ministere-defense-nationale.html	MDN
Destination Canada	https://www.destinationcanada.com/en	DC	Destination Canada	https://www.destinationcanada.com/fr	DC
Canada Economic Development for Quebec Regions	https://www.canada.ca/en/economic-development-quebec-regions.html	CED	Développement économique Canada pour les régions du Québec	https://www.canada.ca/fr/developpement-economique-regions-quebec.html	DEC
Western Economic Diversification Canada	https://www.wd-deo.gc.ca/eng/home.asp	WD	Diversification de l'économie de l'Ouest Canada	https://www.wd-deo.gc.ca/fra/accueil.asp	DEO
Canada School of Public Service	https://www.csps-efpc.gc.ca/index-eng.aspx	CSPS	École de la fonction publique du Canada	https://www.csps-efpc.gc.ca/index-fra.aspx	EFPC
Elections Canada	http://www.elections.ca/home.aspx	Elections	Élections Canada	http://www.elections.ca/accueil.aspx	Élections
Employment and Social Development Canada	https://www.canada.ca/en/employment-social-development.html	ESDC	Emploi et Développement social Canada	https://www.canada.ca/fr/emploi-developpement-social.html	EDSC
Atomic Energy of Canada Limited	http://www.aecl.ca/en/home/default.aspx	AECL	Énergie atomique du Canada, Limitée	http://www.aecl.ca/fr/home/default.aspx	EACL
Correctional Investigator Canada	http://www.oci-bec.gc.ca/index-eng.aspx	OCI	Enquêteur correctionnel Canada	http://www.oci-bec.gc.ca/index-fra.aspx	BEC
Environment and Climate Change Canada	https://www.canada.ca/en/environment-climate-change.html	ECCC	Environnement et Changement climatique Canada	https://www.canada.ca/fr/environnement-changement-climatique.html	ECCC
Export Development Canada	http://www.edc.ca/EN/Pages/default.aspx	EDC	Exportation et développement Canada	http://www.edc.ca/FR/Pages/default.aspx	EDC
Women and Gender Equality Canada	https://cfc-swc.gc.ca/index-en.html	WAGE	Femmes et Égalité des genres Canada	https://cfc-swc.gc.ca/index-fr.html	FEGC
Farm Credit Canada	https://www.fcc-fac.ca/en.html	FCC	Financement agricole Canada	https://www.fcc-fac.ca/fr.html	FAC
Finance Canada (Department of)	https://www.canada.ca/en/department-finance.html	FIN	Finances Canada, Ministère des	https://www.canada.ca/fr/ministere-finances.html	FIN
Canadian Race Relations Foundation	http://www.crrf-fcrr.ca/en/	CRRF	Fondation canadienne des relations raciales	http://www.crrf-fcrr.ca/fr/	FCRR
Canadian Coast Guard	http://www.ccg-gcc.gc.ca/eng/CCG/Home	CCG	Garde côtière canadienne	http://www.ccg-gcc.gc.ca/fra/GCC/Accueil	GCC
Royal Canadian Mounted Police	http://www.rcmp-grc.gc.ca/en/home	RCMP	Gendarmerie royale du Canada	http://www.rcmp-grc.gc.ca/fr	GRC
Governor General of Canada	http://www.gg.ca/index.aspx?lan=eng	OSGG	Gouverneur général du Canada	http://www.gg.ca/index.aspx?lan=fra	BSGG
Registry of the Specific Claims Tribunal of Canada	http://www.sct-trp.ca/hom/index_e.htm	SCT	Greffe du Tribunal des revendications particulières du Canada	http://www.sct-trp.ca/hom/index_f.htm	TRP
Immigration, Refugees and Citizenship Canada	https://www.canada.ca/en/immigration-refugees-citizenship.html?_ga=2.154721784.1999166723.1511794548-2057276988.1508789311	IRCC	Immigration, Réfugiés et Citoyenneté Canada	https://www.canada.ca/fr/immigration-refugies-citoyennete.html?_ga=2.194648429.1999166723.1511794548-2057276988.1508789311	IRCC
Infrastructure Canada	https://www.canada.ca/en/office-infrastructure.html	INFC	Infrastructure Canada	https://www.canada.ca/fr/bureau-infrastructure.html	INFC
Innovation, Science and Economic Development Canada	https://www.canada.ca/en/innovation-science-economic-development.html	ISED	Innovation, Sciences et Développement économique Canada	https://www.canada.ca/fr/innovation-sciences-developpement-economique.html	ISDE
Canadian Conservation Institute	https://www.canada.ca/en/conservation-institute.html	CCI	Institut canadien de conservation	https://www.canada.ca/fr/institut-conservation.html	ICC
Democratic Institutions	https://www.canada.ca/en/democratic-institutions.html		Institutions démocratiques	https://www.canada.ca/fr/institutions-democratiques.html	
Canadian Institutes of Health Research	https://www.canada.ca/en/institutes-health-research.html	CIHR	Instituts de recherche en santé du Canada	https://www.canada.ca/fr/instituts-recherche-sante.html	IRSC
Youth	https://www.canada.ca/en/youth.html	YOUTH	Jeunesse	https://www.canada.ca/fr/jeunesse.html	JEUNESSE
Justice Canada (Department of)	https://www.canada.ca/en/department-justice.html	JUS	Justice Canada, Ministère de la	https://www.canada.ca/fr/ministere-justice.html	JUS
Office of the Chief Military Judge	https://www.canada.ca/en/chief-military-judge.html	OCMJ	Le cabinet du juge militaire en chef	https://www.canada.ca/fr/juge-militaire-chef.html	CJMC
Leader of the Government in the House of Commons	https://www.canada.ca/en/leader-government-house-commons.html		Leader du gouvernement à la Chambre des communes	https://www.canada.ca/fr/leader-gouvernement-chambre-communes.html	
Marine Atlantic	http://www.marineatlantic.ca/en/	MarineAtlantic	Marine Atlantique	http://www.marineatlantic.ca/fr/	MarineAtlantique
Royal Canadian Navy	http://www.navy-marine.forces.gc.ca/en/index.page	RCN	Marine royale canadienne	http://www.navy-marine.forces.gc.ca/fr/index.page	MRC
Measurement Canada	https://www.ic.gc.ca/eic/site/mc-mc.nsf/eng/home	MC	Mesures Canada	https://www.ic.gc.ca/eic/site/mc-mc.nsf/fra/accueil	MC
Royal Canadian Mint	http://www.mint.ca/store/template/home.jsp	Mint	Monnaie royale canadienne	http://www.mint.ca/store/template/home.jsp	Monnaie
Canadian Museum of History	http://www.historymuseum.ca/	CMH	Musée canadien de l'histoire	http://www.museedelhistoire.ca/	MCH
Canadian Museum of Immigration at Pier 21	http://www.pier21.ca/home	CMIP	Musée canadien de l'immigration du Quai 21	http://www.quai21.ca/accueil	MCIQ
Canadian War Museum	http://www.warmuseum.ca/		Musée canadien de la guerre	http://www.museedelaguerre.ca/	
Canadian Museum of Nature	http://nature.ca/en/home	CMN	Musée canadien de la nature	http://nature.ca/fr/accueil	MCN
Canadian Museum for Human Rights	https://humanrights.ca/	CMHR	Musée canadien pour les droits de la personne	https://droitsdelapersonne.ca/	MCDP
Canada Agriculture and Food Museum	http://cafmuseum.techno-science.ca/en/index.php		Musée de l'agriculture et de l'alimentation du Canada	http://museeaac.techno-science.ca/fr/accueil.php	
Canada Aviation and Space Museum	http://casmuseum.techno-science.ca/en/index.php		Musée de l'aviation et de l'espace du Canada	http://museeaec.techno-science.ca/fr/accueil.php	
Bank of Canada Museum	http://www.bankofcanadamuseum.ca/		Musée de la Banque du Canada	http://www.museedelabanqueducanada.ca/	
National Gallery of Canada	http://www.gallery.ca/	NGC	Musée des beaux-arts du Canada	http://www.beaux-arts.ca/	MBAC
Canada Science and Technology Museum	http://cstmuseum.techno-science.ca/		Musée des sciences et de la technologie du Canada	http://museestc.techno-science.ca/fr/accueil.php	
Virtual Museum of Canada	http://www.virtualmuseum.ca/home/	VMC	Musée virtuel du Canada	http://www.museevirtuel.ca/accueil/	MVC
Public Sector Pension Investment Board	http://www.investpsp.com/en/index.html	PSP Investments	Office d'investissement des régimes de pensions du secteur public	http://www.investpsp.com/fr/index.html	Investissements PSP
Canada Pension Plan Investment Board	http://www.cppib.com/en/	CPPIB	Office d'investissement du régime de pensions du Canada	http://www.cppib.com/fr/	OIRPC
Freshwater Fish Marketing Corporation	http://www.freshwaterfish.com/	FFMC	Office de commercialisation du poisson d'eau douce	http://www.freshwaterfish.com/fr	OCPED
Canadian Intellectual Property Office	https://www.canada.ca/en/intellectual-property-office.html	CIPO	Office de la propriété intellectuelle du Canada	https://www.canada.ca/fr/office-propriete-intellectuelle.html	OPIC
Industrial Technologies Office	http://ito.ic.gc.ca/eic/site/ito-oti.nsf/eng/Home	ITO	Office des technologies industrielles	http://ito.ic.gc.ca/eic/site/ito-oti.nsf/fra/accueil	OTI
Canadian Transportation Agency	https://www.canada.ca/en/transportation-agency.html	CTA	Office des transports du Canada	https://www.canada.ca/fr/office-transports.html	OTC
National Energy Board	http://www.neb-one.gc.ca/index-eng.html	NEB	Office national de l'énergie	http://www.one-neb.gc.ca/index-fra.html	ONE
National Film Board	https://www.canada.ca/en/national-film-board.html	NFB	Office national du film	https://www.canada.ca/fr/office-national-film.html	ONF
Veterans' Ombudsman (Office of the)	http://www.ombudsman-veterans.gc.ca/eng		Ombudsman des vétérans	http://www.ombudsman-veterans.gc.ca/fra	
Canadian Accessibility Standards Development Organization	https://www.canada.ca/en/canadian-accessibility-standards-development-organization.html	CASDO	Organisation canadienne d’élaboration des normes d’accessibilité	https://www.canada.ca/fr/organisation-canadienne-elaboration-normes-accessibilite.html	OCENA
Parks Canada	https://www.pc.gc.ca/en/index	PC	Parcs Canada	https://www.pc.gc.ca/fr/index	PC
Parliament of Canada	http://www.parl.ca/?Language=E		Parlement du Canada	http://www.parl.ca/?Language=F	
Canadian Heritage	https://www.canada.ca/en/canadian-heritage.html	PCH	Patrimoine canadien	https://www.canada.ca/fr/patrimoine-canadien.html	PCH
Fisheries and Oceans Canada	http://www.dfo-mpo.gc.ca/index-eng.htm	DFO	Pêches et Océans Canada	http://www.dfo-mpo.gc.ca/index-fra.htm	MPO
Indian Oil and Gas Canada	http://www.pgic-iogc.gc.ca/eng/1100110010002/1100110010005		Pétrole et gaz des Indiens du Canada	http://www.pgic-iogc.gc.ca/fra/1100110010002/1100110010005	
